,type,news
0,business,computer terminal systems cpml completes sale computer terminal systems inc said it has completed the sale of shares of its common stock and warrants to acquire an additional one mln shares to sedio n v of lugano switzerland for dlrs the company said the warrants are exercisable for five years at a purchase price of dlrs per share computer terminal said sedio also has the right to buy additional shares and increase its total holdings up to pct of the computer terminal s outstanding common stock under certain circumstances involving change of control at the company the company said if the conditions occur the warrants would be exercisable at a price equal to pct of its common stock s market price at the time not to exceed dlrs per share computer terminal also said it sold the technolgy rights to its dot matrix impact technology including any future improvements to woodco inc of houston tex for dlrs but it said it would continue to be the exclusive worldwide licensee of the technology for woodco the company said the moves were part of its reorganization plan and would help pay current operation costs and ensure product delivery computer terminal makes computer generated labels forms tags and ticket printers and terminals reuter 
1,business,chemlawn chem rises on hopes for higher bids chemlawn corp chem could attract a higher bid than the dlrs per share offered by waste management inc wnx wall street arbitrageurs said shares of chemlawn shot up to in over the counter trading with mln of the company s mln shares changing hands by late afternoon this company could go for times cash flow or dlrs maybe dollars depending on whether there is a competing bidder an arbitrageur said waste management s tender offer announced before the opening today expires march this is totally by surprise said debra strohmaier a chemlawn spokeswoman the company s board held a regularly scheduled meeting today and was discussing the waste management announcement she said a statement was expected but it was not certain when it would be ready she was unable to say if there had been any prior contact between waste management and chemlawn officials i think they will resist it said elliott schlang analyst at prescott ball and turben inc any company that doesn t like a surprise attack would arbitrageurs pointed out it is difficult to resist tender offers for any and all shares for cash schlang said chemlawn could try to find a white knight if does not want to be acquired by waste management analyst rosemarie morbelli of ingalls and snyder said servicemaster companies l p svm or rollins inc rol were examples of companies that could be interested chemlawn with about two mln customers is the largest u s company involved in application of fertilizers pesticides and herbicides on lawns waste management is involved in removal of wastes schlang said chemlawn s customer base could be valuable to another company that wants to capitalize on a strong residential and commercial distribution system both schlang and morbelli noted that high growth rates had catapulted chemlawn s share price into the mid s in but the stock languished as the rate of growth slowed schlang said the company s profits are concentrated in the fourth quarter in chemlawn earned dlrs per share for the full year and dlrs in the fourth quarter morbelli noted chemlawn competes with thousands of individual entrepreuers who offer lawn and garden care sevice reuter 
2,business,cofab inc buys gulfex for undisclosed amount cofab inc said it acquired gulfex inc a houston based fabricator of custom high pressure process vessels for the energy and petrochemical industries cofab said its group of companies manufacture specialized cooling and lubricating systems for the oil and gas petrochemical utility pulp and paper and marine industries reuter 
3,business,investment firms cut cyclops cyl stake a group of affiliated new york investment firms said they lowered their stake in cyclops corp to shares or pct of the total outstanding common stock from shares or pct in a filing with the securities and exchange commission the group led by mutual shares corp said it sold cyclops common shares on feb and for mln dlrs reuter 
4,business,american express axp seen in possible spinnoff american express co remained silent on market rumors it would spinoff all or part of its shearson lehman brothers inc but some analysts said the company may be considering such a move because it is unhappy with the market value of its stock american express stock got a lift from the rumor as the market calculated a partially public shearson may command a good market value thereby boosting the total value of american express the rumor also was accompanied by talk the financial services firm would split its stock and boost its dividend american express closed on the new york stock exchange at up on heavy volume american express would not comment on the rumors or its stock activity analysts said comments by the company at an analysts meeting tuesday helped fuel the rumors as did an announcement yesterday of management changes at the meeting company officials said american express stock is undervalued and does not fully reflect the performance of shearson according to analysts yesterday shearson said it was elevating its chief operating officer jeffery lane to the added position of president which had been vacant it also created four new positions for chairmen of its operating divisions analysts speculated a partial spinoff would make most sense contrary to one variation on market rumors of a total spinoff some analysts however disagreed that any spinoff of shearson would be good since it is a strong profit center for american express contributing about pct of earnings last year i think it is highly unlikely that american express is going to sell shearson said perrin long of lipper analytical he questioned what would be a better investment than a very profitable securities firm several analysts said american express is not in need of cash which might be the only reason to sell a part of a strong asset but others believe the company could very well of considered the option of spinning out part of shearson and one rumor suggests selling about pct of it in the market larry eckenfelder of prudential bache securities said he believes american express could have considered a partial spinoff in the past shearson being as profitable as it is would have fetched a big premium in the market place shearson s book value is in the mln dlr range shearson in the market place would probably be worth three to bilion dlrs in terms of market capitalization said eckenfelder some analysts said american express could use capital since it plans to expand globally they have enormous internal growth plans that takes capital you want your stock to reflect realistic valuations to enhance your ability to make all kinds of endeavors down the road said e f hutton group analyst michael lewis they ve outlined the fact that they re investing heavily in the future which goes heavily into the international arena said lewis that does not preclude acquisitions and divestitures along the way he said lewis said if american express reduced its exposure to the brokerage business by selling part of shearson its stock might better reflect other assets such as the travel related services business it could find its true water mark with a lesser exposure to brokerage the value of the other components could command a higher multiple because they constitute a higher percentage of the total operating earnings of the company he said lewis said shearson contributed mln in after tax operating earnings up from about mln dlrs in reuter 
5,business,hong kong firm ups wrather wco stake to pct industrial equity pacific ltd a hong kong investment firm said it raised its stake in wrather corp to shares or pct of the total outstanding common stock from shares or pct in a filing with the securities and exchange commission industrial equity which is principally owned by brierley investments ltd a publicly held new zealand company said it bought wrather common shares between feb and for mln dlrs when it first disclosed its stake in wrather earlier this month it said it bought the stock for investment purposes reuter 
6,business,liebert corp lieb approves merger liebert corp said its shareholders approved the merger of a wholly owned subsidiary of emerson electric co emr under the terms of the merger each liebert shareholder will receive shares of emerson stock for each liebert share reuter 
7,business,gulf applied technologies gats sells units gulf applied technologies inc said it sold its subsidiaries engaged in pipeline and terminal operations for mln dlrs the company said the sale is subject to certain post closing adjustments which it did not explain reuter 
8,business,investment group raises robeson rbsn stake a group of affiliated miami based investment firms led by fundamental management corp said it raised its stake in robeson industries corp to shares or pct of the total from or pct in a filing with the securities and exchange commission the group said it bought robeson common shares between jan and feb for dlrs the group said it may buy more shares and plans to study robeson s operations afterwards it may recommend that management make changes in its operations fundamental management chairman carl singer was recently elected to the robeson board reuter 
9,business,drexel official has stake in epsilon data epsi a senior official of drexel burnham lambert inc and his father told the securities and exchange commission they have acquired shares of epsilon data management inc or pct of the total outstanding kenneth thomas senior vice president investments at drexel s los angeles office and his father retired university professor c a thomas said they bought the stake for mln dlrs primarily for investment purposes they said they may buy more stock or sell some or all of their stake depending on market conditions but have no plans to seek control of the company reuter 
